,Status,MARCField,MARCFieldLabel,MARCInd1Label,MARCInd1Value,MARCInd1ValueLabel,MARCInd2Label,MARCInd2Value,MARCInd2ValueLabel,CharacterPosition,CharacterPositionLabel,MARCSubfield,MARCSubfieldLabel,CodeValue,CodeValueLabel,MARCTagCondition1,Condition1Values,MARCTagCondition2,Condition2Values,MARCTagCondition3,MARCTagCondition4,MARCTagCondition5,MARCTagCondition6,Unnamed: 23,RDA Registry URI,RDA Registry Label,Recording Method,Justification for Mapping,Transformation Notes,Problems with Mapping,Notes (Uncategorized)
4423,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,t,Title of a work (NR),,,,expression reviewed in|is expression reviewed in,,,,,,,,http://rdaregistry.info/Elements/e/P20274,is expression reviewed in,,,,,
4424,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,t,Title of a work (NR),,,,oratorio adaptation of expression|is oratorio adaptation of expression,,,,,,,,http://rdaregistry.info/Elements/e/P20281,is oratorio adaptation of expression,,,,,
4425,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,t,Title of a work (NR),,,,adapted as oratorio expression|is adapted as oratorio expression,,,,,,,,http://rdaregistry.info/Elements/e/P20282,is adapted as oratorio expression,,,,,
4426,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,t,Title of a work (NR),,,,title of expression|has title of expression,,,,,,,,http://rdaregistry.info/Elements/e/P20312,has title of expression,,,,,
4427,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,t,Title of a work (NR),,,,,,,,,,,,http://rdaregistry.info/Elements/e/P20319,aggregates,,,,,
4428,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,t,Title of a work (NR),,,,aggregated by|is aggregated by,,,,,,,,http://rdaregistry.info/Elements/e/P20320,is aggregated by,,,,,
4429,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,t,Title of a work (NR),,,,source expression|has source expression,,,,,,,,http://rdaregistry.info/Elements/e/P20574,has source expression,,,,,
4430,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,t,Title of a work (NR),,,,derivative expression|has derivative expression,,,,,,,,http://rdaregistry.info/Elements/e/P20575,has derivative expression,,,,,
4431,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,t,Title of a work (NR),,,,manifestation described in|is manifestation described in,,,,,,,,http://rdaregistry.info/Elements/m/P30254,is manifestation described in,,,,,
4432,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,t,Title of a work (NR),,,,manifestation analysed in|is manifestation analysed in,,,,,,,,http://rdaregistry.info/Elements/m/P30255,is manifestation analysed in,,,,,
4433,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,t,Title of a work (NR),,,,manifestation commentary in|is manifestation commentary in,,,,,,,,http://rdaregistry.info/Elements/m/P30256,is manifestation commentary in,,,,,
4434,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,t,Title of a work (NR),,,,manifestation critiqued in|is manifestation critiqued in,,,,,,,,http://rdaregistry.info/Elements/m/P30257,is manifestation critiqued in,,,,,
4435,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,t,Title of a work (NR),,,,manifestation evaluated in|is manifestation evaluated in,,,,,,,,http://rdaregistry.info/Elements/m/P30258,is manifestation evaluated in,,,,,
4436,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,t,Title of a work (NR),,,,manifestation reviewed in|is manifestation reviewed in,,,,,,,,http://rdaregistry.info/Elements/m/P30259,is manifestation reviewed in,,,,,
4437,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,t,Title of a work (NR),,,,subject item of|is subject item of,,,,,,,,http://rdaregistry.info/Elements/i/P40061,is subject item of,,,,,
4438,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,t,Title of a work (NR),,,,item described in|is item described in,,,,,,,,http://rdaregistry.info/Elements/i/P40062,is item described in,,,,,
4439,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,t,Title of a work (NR),,,,item analysed in|is item analysed in,,,,,,,,http://rdaregistry.info/Elements/i/P40063,is item analysed in,,,,,
4440,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,t,Title of a work (NR),,,,item commentary in|is item commentary in,,,,,,,,http://rdaregistry.info/Elements/i/P40064,is item commentary in,,,,,
4441,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,t,Title of a work (NR),,,,item critiqued in|is item critiqued in,,,,,,,,http://rdaregistry.info/Elements/i/P40065,is item critiqued in,,,,,
4442,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,t,Title of a work (NR),,,,item reviewed in|is item reviewed in,,,,,,,,http://rdaregistry.info/Elements/i/P40067,is item reviewed in,,,,,
4443,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,dramatized as work|is dramatized as work,,,,,,,,http://rdaregistry.info/Elements/w/P10016,is dramatized as work,,,,,
4444,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,part of work|is part of work,,,,,,,,http://rdaregistry.info/Elements/w/P10019,is part of work,,,,,
4445,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,adapted in verse as work|is adapted in verse as work,,,,,,,,http://rdaregistry.info/Elements/w/P10023,is adapted in verse as work,,,,,
4446,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,adapted as motion picture work|is adapted as motion picture work,,,,,,,,http://rdaregistry.info/Elements/w/P10025,is adapted as motion picture work,,,,,
4447,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,cadenza work|has cadenza work,,,,,,,,http://rdaregistry.info/Elements/w/P10026,has cadenza work,,,,,
4448,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,variations based on work|is variations based on work,,,,,,,,http://rdaregistry.info/Elements/w/P10027,is variations based on work,,,,,
4449,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,modified by variation as work|is modified by variation as work,,,,,,,,http://rdaregistry.info/Elements/w/P10028,is modified by variation as work,,,,,
4450,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,cadenza composed for work|is cadenza composed for work,,,,,,,,http://rdaregistry.info/Elements/w/P10029,is cadenza composed for work,,,,,
4451,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,libretto for work|is libretto for work,,,,,,,,http://rdaregistry.info/Elements/w/P10030,is libretto for work,,,,,
4452,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,incidental music work|has incidental music work,,,,,,,,http://rdaregistry.info/Elements/w/P10031,has incidental music work,,,,,
4453,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,remade as work|is remade as work,,,,,,,,http://rdaregistry.info/Elements/w/P10032,is remade as work,,,,,
4454,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,set to music as work|is set to music as work,,,,,,,,http://rdaregistry.info/Elements/w/P10033,is set to music as work,,,,,
4455,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,adapted as novel work|is adapted as novel work,,,,,,,,http://rdaregistry.info/Elements/w/P10034,is adapted as novel work,,,,,
4456,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,issuing agent|has issuing agent,,,,,,,,http://rdaregistry.info/Elements/w/P10046,has issuing agent,,,,,
4457,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,author agent|has author agent,,,,,,,,http://rdaregistry.info/Elements/w/P10061,has author agent,,,,,
4458,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,creator agent of work|has creator agent of work,,,,,,,,http://rdaregistry.info/Elements/w/P10065,has creator agent of work,,,,,
4459,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,sponsoring agent of work|has sponsoring agent of work,,,,,,,,http://rdaregistry.info/Elements/w/P10067,has sponsoring agent of work,,,,,
4460,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,adapted as radio program work|is adapted as radio program work,,,,,,,,http://rdaregistry.info/Elements/w/P10076,is adapted as radio program work,,,,,
4461,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,subseries|has subseries,,,,,,,,http://rdaregistry.info/Elements/w/P10080,has subseries,,,,,
4462,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,adapted as television program work|is adapted as television program work,,,,,,,,http://rdaregistry.info/Elements/w/P10085,is adapted as television program work,,,,,
4463,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,adapted as video work|is adapted as video work,,,,,,,,http://rdaregistry.info/Elements/w/P10087,is adapted as video work,,,,,
4464,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,abstracted in work|is abstracted in work,,,,,,,,http://rdaregistry.info/Elements/w/P10089,is abstracted in work,,,,,
4465,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,indexed in work|is indexed in work,,,,,,,,http://rdaregistry.info/Elements/w/P10090,is indexed in work,,,,,
4466,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,adapted as choreography work|is adapted as choreography work,,,,,,,,http://rdaregistry.info/Elements/w/P10091,is adapted as choreography work,,,,,
4467,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,errata work|has errata work,,,,,,,,http://rdaregistry.info/Elements/w/P10092,has errata work,,,,,
4468,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,illustrations work|has illustrations work,,,,,,,,http://rdaregistry.info/Elements/w/P10093,has illustrations work,,,,,
4469,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,adapted as motion picture screenplay work|is adapted as motion picture screenplay work,,,,,,,,http://rdaregistry.info/Elements/w/P10094,is adapted as motion picture screenplay work,,,,,
4470,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,adapted as screenplay work|is adapted as screenplay work,,,,,,,,http://rdaregistry.info/Elements/w/P10095,is adapted as screenplay work,,,,,
4471,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,adapted as television screenplay work|is adapted as television screenplay work,,,,,,,,http://rdaregistry.info/Elements/w/P10096,is adapted as television screenplay work,,,,,
4472,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,adapted as video screenplay work|is adapted as video screenplay work,,,,,,,,http://rdaregistry.info/Elements/w/P10097,is adapted as video screenplay work,,,,,
4473,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,adapted as radio script work|is adapted as radio script work,,,,,,,,http://rdaregistry.info/Elements/w/P10098,is adapted as radio script work,,,,,
4474,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,freely translated as work|is freely translated as work,,,,,,,,http://rdaregistry.info/Elements/w/P10099,is freely translated as work,,,,,
4475,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,description of work|is description of work,,,,,,,,http://rdaregistry.info/Elements/w/P10100,is description of work,,,,,
4476,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,subseries of|is subseries of,,,,,,,,http://rdaregistry.info/Elements/w/P10101,is subseries of,,,,,
4477,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,issue of|is issue of,,,,,,,,http://rdaregistry.info/Elements/w/P10102,is issue of,,,,,
4478,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,complemented by work|is complemented by work,,,,,,,,http://rdaregistry.info/Elements/w/P10103,is complemented by work,,,,,
4479,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,screenplay for work|is screenplay for work,,,,,,,,http://rdaregistry.info/Elements/w/P10105,is screenplay for work,,,,,
4480,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,incidental music for work|is incidental music for work,,,,,,,,http://rdaregistry.info/Elements/w/P10106,is incidental music for work,,,,,
4481,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,abstracted as work|is abstracted as work,,,,,,,,http://rdaregistry.info/Elements/w/P10107,is abstracted as work,,,,,
4482,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,augmented by work|is augmented by work,,,,,,,,http://rdaregistry.info/Elements/w/P10108,is augmented by work,,,,,
4483,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,summarized as work|is summarized as work,,,,,,,,http://rdaregistry.info/Elements/w/P10109,is summarized as work,,,,,
4484,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,catalogue work|has catalogue work,,,,,,,,http://rdaregistry.info/Elements/w/P10110,has catalogue work,,,,,
4485,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,concordance work|has concordance work,,,,,,,,http://rdaregistry.info/Elements/w/P10111,has concordance work,,,,,
4486,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,addenda work|has addenda work,,,,,,,,http://rdaregistry.info/Elements/w/P10112,has addenda work,,,,,
4487,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,adapted as libretto work|is adapted as libretto work,,,,,,,,http://rdaregistry.info/Elements/w/P10113,is adapted as libretto work,,,,,
4488,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,work reviewed in|is work reviewed in,,,,,,,,http://rdaregistry.info/Elements/w/P10114,is work reviewed in,,,,,
4489,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,work critiqued in|is work critiqued in,,,,,,,,http://rdaregistry.info/Elements/w/P10115,is work critiqued in,,,,,
4490,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,work commentary in|is work commentary in,,,,,,,,http://rdaregistry.info/Elements/w/P10116,is work commentary in,,,,,
4491,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,imitated as work|is imitated as work,,,,,,,,http://rdaregistry.info/Elements/w/P10117,is imitated as work,,,,,
4492,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,work described in|is work described in,,,,,,,,http://rdaregistry.info/Elements/w/P10118,is work described in,,,,,
4493,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,expanded as work|is expanded as work,,,,,,,,http://rdaregistry.info/Elements/w/P10119,is expanded as work,,,,,
4494,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,work evaluated in|is work evaluated in,,,,,,,,http://rdaregistry.info/Elements/w/P10120,is work evaluated in,,,,,
4495,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,work analysed in|is work analysed in,,,,,,,,http://rdaregistry.info/Elements/w/P10121,is work analysed in,,,,,
4496,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,appendix work|has appendix work,,,,,,,,http://rdaregistry.info/Elements/w/P10123,has appendix work,,,,,
4497,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,guide work|has guide work,,,,,,,,http://rdaregistry.info/Elements/w/P10124,has guide work,,,,,
4498,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,abridgement of work|is abridgement of work,,,,,,,,http://rdaregistry.info/Elements/w/P10125,is abridgement of work,,,,,
4499,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,abstract of work|is abstract of work,,,,,,,,http://rdaregistry.info/Elements/w/P10126,is abstract of work,,,,,
4500,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,dramatization of work|is dramatization of work,,,,,,,,http://rdaregistry.info/Elements/w/P10127,is dramatization of work,,,,,
4501,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,verse adaptation of work|is verse adaptation of work,,,,,,,,http://rdaregistry.info/Elements/w/P10128,is verse adaptation of work,,,,,
4502,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,motion picture adaptation of work|is motion picture adaptation of work,,,,,,,,http://rdaregistry.info/Elements/w/P10129,is motion picture adaptation of work,,,,,
4503,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,novelization of work|is novelization of work,,,,,,,,http://rdaregistry.info/Elements/w/P10130,is novelization of work,,,,,
4504,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,radio adaptation of work|is radio adaptation of work,,,,,,,,http://rdaregistry.info/Elements/w/P10131,is radio adaptation of work,,,,,
4505,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,television adaptation of work|is television adaptation of work,,,,,,,,http://rdaregistry.info/Elements/w/P10132,is television adaptation of work,,,,,
4506,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,screenplay based on work|is screenplay based on work,,,,,,,,http://rdaregistry.info/Elements/w/P10133,is screenplay based on work,,,,,
4507,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,motion picture screenplay based on work|is motion picture screenplay based on work,,,,,,,,http://rdaregistry.info/Elements/w/P10134,is motion picture screenplay based on work,,,,,
4508,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,television screenplay based on work|is television screenplay based on work,,,,,,,,http://rdaregistry.info/Elements/w/P10135,is television screenplay based on work,,,,,
4509,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,video screenplay based on work|is video screenplay based on work,,,,,,,,http://rdaregistry.info/Elements/w/P10136,is video screenplay based on work,,,,,
4510,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,radio script based on work|is radio script based on work,,,,,,,,http://rdaregistry.info/Elements/w/P10137,is radio script based on work,,,,,
4511,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,video adaptation of work|is video adaptation of work,,,,,,,,http://rdaregistry.info/Elements/w/P10138,is video adaptation of work,,,,,
4512,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,digest of work|is digest of work,,,,,,,,http://rdaregistry.info/Elements/w/P10139,is digest of work,,,,,
4513,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,analysis of work|is analysis of work,,,,,,,,http://rdaregistry.info/Elements/w/P10140,is analysis of work,,,,,
4514,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,issue|has issue,,,,,,,,http://rdaregistry.info/Elements/w/P10141,has issue,,,,,
4515,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,adaptation of work|is adaptation of work,,,,,,,,http://rdaregistry.info/Elements/w/P10142,is adaptation of work,,,,,
4516,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,free translation of work|is free translation of work,,,,,,,,http://rdaregistry.info/Elements/w/P10143,is free translation of work,,,,,
4517,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,parodied as work|is parodied as work,,,,,,,,http://rdaregistry.info/Elements/w/P10144,is parodied as work,,,,,
4518,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,part work|has part work,,,,,,,,http://rdaregistry.info/Elements/w/P10147,has part work,,,,,
4519,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,derivative work|has derivative work,,,,,,,,http://rdaregistry.info/Elements/w/P10148,has derivative work,,,,,
4520,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,errata to work|is errata to work,,,,,,,,http://rdaregistry.info/Elements/w/P10149,is errata to work,,,,,
4521,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,guide to work|is guide to work,,,,,,,,http://rdaregistry.info/Elements/w/P10150,is guide to work,,,,,
4522,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,appendix to work|is appendix to work,,,,,,,,http://rdaregistry.info/Elements/w/P10151,is appendix to work,,,,,
4523,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,illustrations for work|is illustrations for work,,,,,,,,http://rdaregistry.info/Elements/w/P10152,is illustrations for work,,,,,
4524,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,evaluation of work|is evaluation of work,,,,,,,,http://rdaregistry.info/Elements/w/P10153,is evaluation of work,,,,,
4525,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,supplement to work|is supplement to work,,,,,,,,http://rdaregistry.info/Elements/w/P10154,is supplement to work,,,,,
4526,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,adapted as work|is adapted as work,,,,,,,,http://rdaregistry.info/Elements/w/P10155,is adapted as work,,,,,
4527,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,finding aid work|has finding aid work,,,,,,,,http://rdaregistry.info/Elements/w/P10157,has finding aid work,,,,,
4528,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,index work|has index work,,,,,,,,http://rdaregistry.info/Elements/w/P10158,has index work,,,,,
4529,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,screenplay work|has screenplay work,,,,,,,,http://rdaregistry.info/Elements/w/P10159,has screenplay work,,,,,
4530,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,motion picture screenplay work|has motion picture screenplay work,,,,,,,,http://rdaregistry.info/Elements/w/P10160,has motion picture screenplay work,,,,,
4531,delete,711.0,ADDED ENTRY--MEETING NAME (R),Type of meeting name entry element,*,,Type of added entry,*,,,,u,Affiliation (NR),,,,musical setting of work|is musical setting of work,,,,,,,,http://rdaregistry.info/Elements/w/P10161,is musical setting of work,,,,,
